text,cluster,text_id,COUNTER 
"Lidia Chojecka-Leandro (born 25 January 1977 in Siedlce) is a retired Polish middle distance runner, who mostly competed in the 1500 metres and sometimes 3000 metres.
Chojecka is a triple European indoor champion, winning the 1500 m title in 2005 and 2007 and the 3000 m title also in 2007.
Her husband and former coach is a Gabonese-born runner, Jean-Marc Léandro.
Personal bests.
Outdoor
Indoor",0,91,0
"Nubkhesbed (""Gold and Lapis lazuli"") was an ancient Egyptian queen of the 20th Dynasty. She was the Great Royal Wife of Pharaoh Ramesses VI and mother of Pharaoh Ramesses VII, Princess Iset (God's Wife of Amun) and Princes Amenherkhepshef and Panebenkemyt.
She is mentioned in her son Amenherkhepshef's tomb KV13 and on a stela of her daughter Iset in Coptos.",0,92,1
"Gustavo Selbach (born 25 August 1974 in Três Coroas) is a Brazilian slalom canoeist who competed at the international level from 1992 to 2010.
Competing in two Summer Olympics, he earned his best finish of 31st in the K1 event in Barcelona in 1992.
His older brother Leonardo is also a two-time Olympian in canoe slalom.",0,93,2
"The Friedland was an 80-gun ""Bucentaure""-class ship of the line of the French Navy, designed by Sané.
Career.
Her launching was attended by Napoleon and his wife, Marie Louise. She was commissioned in Antwerp under Captain Le Bozec on 4 January 1811, and attributed to the Brest squadron.
She was given to Holland with the Treaty of Fontainebleau of 1814.",0,94,3
"Sergey Shayslamov (born 23 July 1970) is an Uzbekistani sprint canoer who competed in the mid-1990s. At the 1996 Summer Olympics in Atlanta, he was eliminated in the repechages of the C-2 500 m event and the semifinals of the C-2 1000 m event. He is the twin brother of Vladimir Shayslamov.",0,95,4
"Stephen Barrett Tanner is an American author currently residing in Sierra Madre, California. He served with US special forces in Italy in World War II and following his graduation from Yale University in the US Department of State (1949–1969).
As a military historian and freelance writer, Tanner has produced the following books:
Tanner is the son of Dr William Tanner and is married to Anne (Nancy) daughter of art historian Professor Emerson Howland Swift. Tanner has two children.",0,96,5
"Marina Mora Montero (born c. 1980) is a model who, as Miss La Libertad, was elected Miss Peru 2002 and represented Peru at Miss World 2002 where she finished third.
In 2016, she was guest judge in the final Miss Peru 2016 beauty pageant, celebrated in the Ecological Center and Studios of America Television Production, Pachacamac, Lima, Peru.
Personal life.
In 2005, Mora married her first cousin, Gustavo Mora. They later separated.",0,97,6
"Jon Eriksson Helland II (1849–1869) was a Norwegian Hardanger fiddle maker from Bø in Telemark.
The eldest son of Erik Jonsson Helland, Jon died at 20 years of age. He was considered very gifted, and his father had great expectations for him, as seen from the fact that he took him on his travels to Kristiania (now Oslo) and Horten.
Because of his early death, he did not make many violins. However, it is likely that he would have been a greater violin maker still, than his father.",0,98,7
" &lt;ns&gt;0&lt;/ns&gt;
 &lt;revision&gt;
 &lt;parentid&gt;632997874&lt;/parentid&gt;
 &lt;timestamp&gt;2020-05-27T22:22:21Z&lt;/timestamp&gt;
 &lt;contributor&gt;
 &lt;username&gt;William Avery Bot&lt;/username&gt;
 &lt;/contributor&gt;
 &lt;minor /&gt;
 &lt;comment&gt;Added parameter 'fish' to template . See &lt;/comment&gt;
 &lt;model&gt;wikitext&lt;/model&gt;
 &lt;format&gt;text/x-wiki&lt;/format&gt;",0,99,8
"Adolphe Stoeber, or Adolf Stöber (Strasbourg, 1810 – Mulhouse, 1892) was a French ecclesiastic and writer in German language from Alsace.
He was Ehrenfried Stoeber's son and Auguste Stoeber's brother. He studied theology and was a Protestant priest in Metz (1832), Oberbronn (1836) and Mulhouse, where he was president at the Reformist Assembly.
In 1838, he founded the publication Erwinia with his brother. This magazine dealt with Alsatian and Swiss legends in Alsatian.",0,100,9
